Title,Author,Publish Date,Publisher,Description,url,TitleScore
Streaming news site Cheddar plans expansion after raising $22 million in funding,Benjamin Mullin,2018-03-19T20:13:12Z,The Wall Street Journal,"Cheddar, the financial news streaming service aimed at millennials, is preparing to expand internationally and launch a channel on Snapchat Discover after securing a new investment round.",https://www.wsj.com/articles/cheddar-the-cnbc-for-millennials-raises-22-million-for-international-expansion-1521487261,
Facebook Stock Decline Knocks it Out of S&P 500′s Big Five,Ben Eisen,2018-03-19T15:54:31Z,The Wall Street Journal,"Facebook Inc.'s share-price fall on Monday shaved roughly $30 billion from its market cap, enough to remove it from the ranks of the five biggest companies in the S&P 500.",https://blogs.wsj.com/moneybeat/2018/03/19/facebook-stock-decline-knocks-it-out-of-sp-500s-big-five/,
Oil Hedge Fund BBL Looks to Launch $1 Billion Macro Fund,Alison Sider,2018-03-18T14:32:02Z,The Wall Street Journal,"BBL Commodities is looking to raise $1 billion for a new fund that will wager on macroeconomic trends via bonds, stocks, currencies and commodities.",https://www.wsj.com/articles/oil-hedge-fund-bbl-looks-to-launch-1-billion-macro-fund-1521383520,
"WSJ City PM: A White House Truce Amid Shakeup, UK Points Finger at Putin, Deutsche Bank Boosts Bonus Pool",Mischa Frankl-Duval,2018-03-16T16:24:41Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Following a …",https://blogs.wsj.com/moneybeat/2018/03/16/wsj-city-pm-trump-truce-stems-white-house-exodus-johnson-ups-the-ante-on-russia-the-uks-reliance-on-an-old-ally/,
LinkedIn's $27 Billion Challenge: Get People to Use It More,Jay Greene,2018-03-16T12:12:22Z,The Wall Street Journal,"LinkedIn, which Microsoft Corp. bought for $27 billion in 2016, is rolling out features meant to get users visiting more, as the professional social network prepares to infuse user data into Microsoft’s other productivity tools.",https://www.wsj.com/articles/linkedins-27-billion-challenge-get-people-to-use-it-more-1521201600,
The Gamble That Put David Solomon on Top at Goldman Sachs,Liz Hoffman,2018-03-15T16:58:08Z,The Wall Street Journal,"In the spring of 2014, Las Vegas tycoon Sheldon Adelson floated an offer to David Solomon: come run his casino empire. Mr. Solomon, a senior Goldman Sachs executive, was 52 years old and seen as a long shot to become CEO of the bank. But Mr. Solomon turned do…",https://www.wsj.com/articles/the-gamble-that-put-david-solomon-on-top-at-goldman-sachs-1521123442,
Bear Stearns’ Alumni Having a Good Week,Ken Brown,2018-03-15T15:57:36Z,The Wall Street Journal,"Bear Stearns disappeared 10 years ago this week, but its alumni are prospering. On this anniversary, two Bear alumni have ascended to the heights of business and government: David Solomon became the likely next CEO of Goldman Sachs and Lawrence Kudlow was nam…",https://blogs.wsj.com/moneybeat/2018/03/15/bear-stearns-alumni-having-a-good-week/,
"Dropbox Pitches Investors on Scale, Growth and Collaboration",Maureen Farrell,2018-03-14T21:54:48Z,The Wall Street Journal,"Leading up to its initial public offering, Dropbox Inc. executives have spent the past few days pitching potential investors on the company’s ability to reach an expansive, 500 million-user base and its growth potential, according to people who have attended …",https://www.wsj.com/articles/dropbox-pitches-investors-on-scale-growth-and-collaboration-1521062800,
China’s HNA Group is Back in One American Bank’s Good Graces — For One Deal,Julie Steinberg,2018-03-14T16:04:57Z,The Wall Street Journal,Bank of America Corp. has taken China’s HNA Group Co. out of the penalty box -- for now.,https://blogs.wsj.com/moneybeat/2018/03/14/chinas-hna-group-is-back-in-one-american-banks-good-graces-for-one-deal/,
How to Move From the Boardroom to the Beltway: Lessons From CEOs,Michael C. Bender,2018-03-14T09:41:27Z,The Wall Street Journal,Former Secretary of State Rex Tillerson and national economic adviser Gary Cohn are just the latest corporate chieftains to stumble in the transition from the autonomous confines of the corner suite to the political pressure cooker in Washington.,https://www.wsj.com/articles/how-to-move-from-the-boardroom-to-the-beltway-lessons-from-ceos-1521019801,
Trump Says He Is 'Very Strongly' Considering Kudlow to Replace Cohn,Nick Timiraos,2018-03-13T18:07:31Z,The Wall Street Journal,President Donald Trump said he is “very strongly” considering naming CNBC commentator Lawrence Kudlow to replace Gary Cohn as director of the National Economic Council.,https://www.wsj.com/articles/trump-says-he-is-very-strongly-considering-kudlow-to-replace-cohn-1520963796,
The Wall Street Journal: Russia demands access to U.K. findings in spy poisoning probe,James Marson,2018-03-13T12:24:41Z,The Wall Street Journal,"As a U.K. deadline nears for Moscow to give an explanation for the poisoning of former double agent Sergei Skripal and his daughter, Moscow says it will only cooperate if it has access to the nerve agent used.",https://www.wsj.com/articles/russia-demands-to-be-involved-in-spy-poisoning-probe-as-u-k-deadline-nears-1520941646,
