Title,Author,Publish Date,Publisher,Description,url,TitleScore
The Morning Ledger: US – China Trade War Escalates - Wall Street Journal (blog),Tatyana Shumsky,2018-04-02T11:14:48Z,The Wall Street Journal,"Wall Street Journal (blog) The Morning Ledger: US – China Trade War Escalates Wall Street Journal (blog) Sign up for the Morning Ledger, emailed to you each weekday morning. Follow us on Twitter: @CFOJournal. All CFO Journal-produced content can be accessed w…",https://blogs.wsj.com/cfo/2018/04/02/the-morning-ledger-u-s-china-trade-war-escalates/,-0.828234
"Tesla, Uber Deaths Raise Questions About the Perils of Partly Autonomous Driving",Tim Higgins,2018-04-02T09:57:14Z,The Wall Street Journal,Two recent fatal crashes of cars with varying levels of autonomous-driving technology are focusing attention on vehicles that vest control in both humans and machines.,https://www.wsj.com/articles/tesla-uber-deaths-raise-questions-about-the-perils-of-partly-autonomous-driving-1522661400,-0.812522
NTSB 'Unhappy' With Tesla Over Crash Disclosures,Mike Spector,2018-04-02T00:22:33Z,The Wall Street Journal,The National Transportation Safety Board expressed displeasure with Tesla Inc.’s recent disclosure that the company’s semiautonomous driving system was activated before a fatal crash last month in California.,https://www.wsj.com/articles/ntsb-unhappy-with-tesla-over-crash-disclosures-1522628551,-0.476432
Tesla: Autopilot Was Engaged in Fatal Crash in California,Tim Higgins,2018-03-31T02:16:02Z,The Wall Street Journal,"Tesla acknowledged its semiautonomous system Autopilot was engaged by the driver in the seconds before a fatal crash last week, raising more questions about the safety of self-driving technology on public roads.",https://www.wsj.com/articles/tesla-says-autopilot-was-engaged-in-fatal-crash-under-investigation-in-california-1522462409,-0.636518
Russia Lashes Back | John Bolton’s Politics | Trump’s Visa Dilemma,Joshua Jamerson,2018-03-30T11:14:49Z,The Wall Street Journal,"Russia has lashed back at the U.S. and its European allies for their coordinated expulsion this week of more than 130 Russian diplomats from the U.S. and European countries, a sign of how much has changed since December 2016.",https://blogs.wsj.com/washwire/2018/03/30/capital-journal-fri-4-newsletter-draft/,0.0
Tesla Recalls 123000 Model S Cars Over Bolt Issue - Wall Street Journal,Tim Higgins,2018-03-29T22:12:34Z,The Wall Street Journal,"Wall Street Journal Tesla Recalls 123000 Model S Cars Over Bolt Issue Wall Street Journal Attendees at the Bucharest Auto Show in Bucharest, Romania, studied a privately owned Tesla Inc. Model S electric vehicle on display in October 2016. On Thursday, the au…",https://www.wsj.com/articles/tesla-recalls-123-000-model-s-cars-over-bolt-issue-1522361482,0.445886
Tech Selloff Points to a Likely Reckoning for Global Stock Rally - Wall Street Journal,James Mackintosh,2018-03-29T15:00:44Z,The Wall Street Journal,"Wall Street Journal Tech Selloff Points to a Likely Reckoning for Global Stock Rally Wall Street Journal The five biggest components of the S&P 500 at the end of February were all tech stocks: Apple, Microsoft, Amazon.com, AMZN -0.87% Facebook and Alphabet (f…",https://www.wsj.com/articles/tech-selloff-points-to-a-likely-reckoning-for-global-stock-rally-1522335243,0.0
"Stocks to Watch: Facebook, Amazon, Tesla, Nvidia, Boeing, Starbucks, Constellation, PVH, GameStop",Amrith Ramkumar,2018-03-29T13:31:01Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Thursday's session are Facebook, Amazon.com, Tesla, Nvidia, Boeing and Starbucks.",https://blogs.wsj.com/moneybeat/2018/03/29/stocks-to-watch-facebook-amazon-tesla-nvidia-boeing-starbucks-constellation-pvh-gamestop/,0.0
This Tech Selloff Is Making Day Traders Nervous,Ben Eisen,2018-03-29T13:16:16Z,The Wall Street Journal,The selloff in tech stocks is making a group of usually bullish short-term investors nervous.,https://blogs.wsj.com/moneybeat/2018/03/29/this-tech-selloff-is-making-day-traders-nervous/,-0.849467
Real Time Economics: Political risk | Transportation Funding | State Budgets,Greg Ip,2018-03-29T11:56:33Z,The Wall Street Journal,"In today’s Real Time Economics newsletter, political risks weigh on financial markets, the economy not so much; rural America gets the lion's share of Trump's transportation grants; Medicaid and retiree benefits wreak havoc with state budgets; and pre-Brexit …",https://blogs.wsj.com/economics/2018/03/29/real-time-economics-political-risk-transportation-funding-state-budgets/,0.0
