Title,Author,Publish Date,Publisher,Description,url
The Wall Street Journal: Apple hires prominent AI executive from Google,Tripp Mickle,2018-04-04T04:22:00Z,The Wall Street Journal,"John Giannandrea joins Apple amid effort to bolster artificial intelligence offeringsApple Inc. hired a prominent executive from rival Google to lead its artificial-intelligence efforts, an area of growing importance where analysts say the tech giant has lagg…",https://www.wsj.com/articles/apple-hires-artificial-intelligence-executive-from-rival-google-1522811544
Start Worrying about Facebook,James Freeman,2018-04-03T21:34:44Z,The Wall Street Journal,Zuckerberg is becoming a more aggressive media gatekeeper. His political critics will be pleased.,https://www.wsj.com/articles/start-worrying-about-facebook-1522790647
Spotify on Track for Third-Largest Tech IPO Ever,Anne Steele,2018-04-03T17:23:44Z,The Wall Street Journal,"Spotify roared onto the public market, as the music-streaming giant pulled off a unique method of going public. The stock opened significantly higher than its private-market price before sliding back.",https://www.wsj.com/articles/spotify-shares-jump-in-market-debut-1522773951
Apple Needs to Fix 'Do Not Disturb' Mode—Here's How - Wall Street Journal,David Pierce,2018-04-03T16:21:31Z,The Wall Street Journal,"Wall Street Journal Apple Needs to Fix 'Do Not Disturb' Mode—Here's How Wall Street Journal Your phone is addictive on purpose, and it can be hard to ignore. WSJ's David Pierce has a few tricks and tips to pull yourself back into the real world. Photo/Video: …",https://www.wsj.com/articles/apple-needs-to-fix-do-not-disturb-modeheres-how-1522772396
"WSJ City PM: Investors Set for Spotify’s Unorthodox Debut, Foreign Funds Flock to Fledgling UK Rental Market",Mischa Frankl-Duval,2018-04-03T14:57:34Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Spotify is g…",https://blogs.wsj.com/moneybeat/2018/04/03/wsj-city-pm-spotify-goes-public-tesla-shares-rise-despite-missed-target-how-private-money-is-changing-markets/
High-End Dining for the High-Chair Set,Alina Dizik,2018-04-03T14:54:15Z,The Wall Street Journal,"Forget chicken fingers. Top restaurants are catering to young foodies and their parents with sophisticated, multi-course kids’ menus.",https://www.wsj.com/articles/high-end-dining-for-the-high-chair-set-1522764900
"Stocks to Watch: Spotify, Amazon, Apple, Tesla, GM, Intel, Disney, Longfin, Celgene, Overstock.com",Amrith Ramkumar,2018-04-03T13:23:21Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Tuesday's session are Spotify, Amazon, Apple, Tesla, General Motors and Intel.",https://blogs.wsj.com/moneybeat/2018/04/03/stocks-to-watch-spotify-amazon-apple-tesla-gm-intel-disney-longfin-celgene-overstock-com/
CMO Today: Zuckerberg and Cook Sound Off; Google Changes Reporting Metric; Fox News Responds to 'Ingraham... - Wall Street Journal,Lara O’Reilly,2018-04-03T12:14:08Z,The Wall Street Journal,"CMO Today: Zuckerberg and Cook Sound Off; Google Changes Reporting Metric; Fox News Responds to 'Ingraham... Wall Street Journal Here's your morning roundup of the biggest marketing, advertising and media industry news and happenings. CMO Today: Zuckerberg an…",https://www.wsj.com/articles/cmo-today-zuckerberg-and-cook-sound-off-google-changes-reporting-metric-fox-news-responds-to-ingraham-ad-boycott-1522757615
iPhone Users Are Pestered to Enroll in Apple Pay,Tripp Mickle,2018-04-03T11:24:51Z,The Wall Street Journal,"Apple is nagging iPhone users to enroll in its mobile-payment service with a persistent red circle badge. The strategy has worked with some, but is irritating others who say it is heavy-handed and exploits the tech giant’s clout in ways that could disadvantag…",https://www.wsj.com/articles/apple-insists-iphone-users-enroll-in-apple-pay-with-a-red-badge-that-wont-go-away-1522753200
"WSJ City: Tech Plunges Again, Fox Says Disney Could Buy Sky News, U.K. Plc Confident",Philip Georgiadis,2018-04-03T07:15:05Z,The Wall Street Journal,"Good morning from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Shares of the …",https://blogs.wsj.com/moneybeat/2018/04/03/wsj-city-tech-plunges-again-uk-plc-confident-euros-rally-cant-convince-central-banks/
